"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.658128368,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.056562604,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.511653695,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.00019087,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.187178503,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-20.374742906,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.963389657,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.771591201,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.403718229,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.066674236,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.18341108,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.635834716,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.185592273,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.24314668,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.201237464,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.496974494,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.009481049,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.926299655,
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.568449846,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.380311538,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.404756222,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.410155792,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.208875195,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-18.484122545,"P"
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.622270184,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.400744084,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.431763048,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.193200285,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.864709645,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.598420242,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.935613611,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.766697068,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.908270864,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.676700621,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.390899811,
